"inches";"weight";"price_euros";"company";"typename";"ram"
15.6000003814697;1.86000001430511;575;4;4;2
15.6000003814697;2.09999990463257;400;1;4;1
14;1.29999995231628;1495;2;5;3
14;1.60000002384186;770;1;5;2
15.6000003814697;1.86000001430511;393.899993896484;4;4;1
15.6000003814697;1.86000001430511;344.989990234375;4;4;1
15.6000003814697;2.20000004768372;498.899993896484;3;4;1
15.6000003814697;2.20000004768372;745;3;4;2
15.6000003814697;2.20000004768372;499;5;4;2
13.3000001907349;1.22000002861023;979;3;5;2
15.6000003814697;2.5;999;5;2;2
15.6000003814697;1.86000001430511;258;4;4;1
13.3000001907349;1.62000000476837;819;3;1;2
15.6000003814697;1.9099999666214;659;4;5;2
15.6000003814697;2.29999995231628;418.640014648438;3;4;1
15.6000003814697;2.20000004768372;800;3;4;2
15.6000003814697;1.87999999523163;1298;3;5;2
17.2999992370605;2.5;896;4;4;2
17.2999992370605;2.71000003814697;439;4;4;1
13.3000001907349;1.20000004768372;1869;3;5;3
14;1.44000005722046;249;5;4;1
15.6000003814697;2.09999990463257;367;1;4;1
17.2999992370605;2.79999995231628;979;3;4;2
15.6000003814697;1.86000001430511;488.690002441406;4;4;1
15.6000003814697;2.09999990463257;879;4;4;2
15.6000003814697;2;389;2;4;1
15.6000003814697;2.65000009536743;1499;3;2;3
15.6000003814697;2.29999995231628;522.989990234375;2;4;2
15.6000003814697;2.20000004768372;682;1;4;1
15.6000003814697;2.20000004768372;369;5;4;1
17.2999992370605;3.20000004768372;1299;2;2;2
15.6000003814697;2.29999995231628;639;3;4;1
17.2999992370605;2.79999995231628;466;2;4;1
10.1000003814697;0.689999997615814;319;5;1;1
15.6000003814697;2.20000004768372;841;1;4;2
15.6000003814697;1.86000001430511;398.489990234375;4;4;1
13.3000001907349;1.49000000953674;1103;4;4;2
15.6000003814697;2.40000009536743;384;1;4;1
15.6000003814697;2.13000011444092;767.799987792969;3;4;2
15.6000003814697;1.9099999666214;439;4;4;1
15.6000003814697;2;586.190002441406;2;4;1
17.2999992370605;2.4300000667572;2449;6;2;3
15.6000003814697;2;415;2;4;1
17.2999992370605;2.79999995231628;1299;3;4;3
14;1.70000004768372;879;3;5;2
14;1.70000004768372;599;5;4;2
14;1.39999997615814;941;2;4;2
15.6000003814697;1.86000001430511;690;4;4;2
15.6000003814697;1.79999995231628;1983;2;5;3
15.6000003814697;1.86000001430511;438.690002441406;4;4;1
14;1.44000005722046;229;4;4;1
15.6000003814697;1.89999997615814;549;5;4;1
13.3000001907349;1.39999997615814;955;3;5;2
15.6000003814697;2.20000004768372;870;3;4;2
17.2999992370605;2.70000004768372;1095;6;2;2
14;2.09999990463257;389;1;4;2
15.6000003814697;2.20000004768372;949;2;2;2
15.6000003814697;2.20000004768372;519;5;4;2
15.6000003814697;2.01999998092651;855;3;4;2
15.6000003814697;2.20000004768372;530;1;4;1
17.2999992370605;2.5;977;4;4;2
15.6000003814697;1.87999999523163;1096.16003417969;3;5;2
14;1.62999999523163;860;4;4;2
15.6000003814697;2.20000004768372;399;5;4;1
15.6000003814697;2.09999990463257;395;1;4;1
15.6000003814697;2.65000009536743;1349;3;2;3
15.6000003814697;1.83000004291534;699;4;5;2
15.6000003814697;1.96000003814697;598.989990234375;4;4;2
15.6000003814697;2.20000004768372;1449;2;2;3
13.3000001907349;1.21000003814697;1649;3;5;2
15.6000003814697;2.45000004768372;699;2;2;2
15.6000003814697;2.20000004768372;689;1;4;2
13.3000001907349;1.49000000953674;1197;4;4;3
15.6000003814697;2.65000009536743;1195;3;2;2
14;1.25;1049;2;5;2
13.3000001907349;1.5;847;1;1;2
15.6000003814697;2.20000004768372;599.900024414062;3;4;2
15.6000003814697;2.20000004768372;485;3;4;1
15.6000003814697;1.9099999666214;719;4;4;2
15.6000003814697;2.09999990463257;349;4;4;1
15.6000003814697;2.20000004768372;647;3;4;2
13.3000001907349;1.37999999523163;1119;4;5;2
15.6000003814697;1.85000002384186;414.899993896484;5;4;1
14;1.29999995231628;1193;2;5;2
15.6000003814697;2.20000004768372;1299;6;2;3
14;1.58000004291534;1480;5;4;2
15.6000003814697;1.5;1262;2;5;3
13.3000001907349;1.23000001907349;1379;3;5;2
13.3000001907349;1.37000000476837;1399;5;1;2
14;1.62999999523163;722;4;4;1
13.3000001907349;1.21000003814697;1629;3;5;2
13.3000001907349;1.25999999046326;1398.98999023438;4;1;2
14;1.62999999523163;1084;4;4;2
15.6000003814697;2.16000008583069;1130.32995605469;3;4;2
17.2999992370605;2;564;2;4;1
15.6000003814697;1.70000004768372;1118;2;4;2
15.6000003814697;1.79999995231628;2241.5;6;2;3
15.6000003814697;2.20000004768372;629;5;4;2
17.2999992370605;2.5;1271;4;4;3
15.6000003814697;2.09999990463257;451;1;4;1
15.6000003814697;1.86000001430511;259;4;4;1
14;1.62999999523163;812;4;4;2
14;1.64999997615814;277.989990234375;2;4;1
17.2999992370605;2.79999995231628;1396;3;4;3
17.2999992370605;2.5;928;4;4;2
15.6000003814697;2.35999989509583;638.989990234375;3;4;2
15.6000003814697;2.20000004768372;449;3;4;1
14;1.60000002384186;884;1;5;2
15.6000003814697;2.20000004768372;572;1;4;1
15.6000003814697;2.04999995231628;598;4;4;2
14;1.62999999523163;988;4;4;2
15.6000003814697;1.89999997615814;252.360000610352;5;4;1
17.2999992370605;3;938;2;2;2
15.6000003814697;2.20000004768372;499;5;4;1
13.3000001907349;1.32000005245209;699;4;4;1
17.2999992370605;3;655;1;4;1
14;1.75;1116.02001953125;5;4;2
15.6000003814697;2.40000009536743;869;5;2;2
15.6000003814697;2.09999990463257;602;7;4;1
15.6000003814697;1.86000001430511;369;4;4;1
14;1.25;1099;2;5;2
12.5;0.970000028610229;2014;4;5;2
15.6000003814697;2;344;2;4;1
17.2999992370605;2.90000009536743;2029;6;2;3
15.6000003814697;2.09999990463257;447;1;4;1
15.6000003814697;2.55999994277954;1249.26000976562;3;2;3
15.6000003814697;2.61999988555908;899;3;2;2
15.6000003814697;1.89999997615814;498;5;4;1
17.2999992370605;2.79999995231628;1890;6;2;3
14;1.48000001907349;1082;4;5;1
14;1.74000000953674;629;5;1;1
13.3000001907349;1.10000002384186;1315;2;1;2
15.6000003814697;1.55999994277954;1049;3;1;2
15.6000003814697;2.09999990463257;447;7;4;1
15.6000003814697;2.02999997138977;403;2;4;1
17.2999992370605;3;805;1;4;1
15.6000003814697;2.13000011444092;728;3;4;2
15.6000003814697;2.5;1079;5;2;3
15.6000003814697;2.09999990463257;348;1;4;1
15.6000003814697;2.40000009536743;1799;6;2;3
15.6000003814697;2.09999990463257;363.510009765625;1;4;1
15.6000003814697;2.55999994277954;1060.48999023438;3;2;2
17.2999992370605;3;854;1;4;2
13.3000001907349;1.49000000953674;754;4;4;1
15.6000003814697;2.20000004768372;309;5;4;1
15.6000003814697;2;489;7;4;1
17.2999992370605;2.5;923;4;4;2
15.6000003814697;2.29999995231628;459;3;4;2
15.6000003814697;2.09999990463257;449;1;4;1
18.3999996185303;4.40000009536743;2799;6;2;4
15.6000003814697;1.89999997615814;813;5;4;2
13.3000001907349;1.28999996185303;1499;4;1;2
15.6000003814697;2.01999998092651;1049;3;4;3
13.3000001907349;1.23000001907349;1399;3;5;2
13.8999996185303;1.39999997615814;1849;5;1;3
15.6000003814697;2;793;7;4;2
17.2999992370605;2.76999998092651;1549;3;4;3
15.6000003814697;2.05999994277954;2397;3;4;3
15.6000003814697;2.40000009536743;779;5;2;2
13.3000001907349;1.12000000476837;989;1;5;2
17.2999992370605;2.79999995231628;1085;3;4;2
14;1.41999995708466;2824;5;1;3
17.2999992370605;2.79999995231628;698;5;4;2
13.3000001907349;1.62000000476837;839;3;1;2
17.2999992370605;2.5;914;4;4;2
13.3000001907349;1.49000000953674;959;4;4;2
17.2999992370605;3.34999990463257;1379;4;2;3
17.2999992370605;2.5;1045;4;4;2
15.6000003814697;2.65000009536743;1845;3;2;3
15.6000003814697;2.09999990463257;493;5;4;1
15.6000003814697;2.23000001907349;742;1;4;2
15.6000003814697;3.20000004768372;1749;5;2;3
15.6000003814697;2.79999995231628;3055;3;6;3
15.6000003814697;2.40000009536743;1398;5;2;3
13.3000001907349;1.21000003814697;1949;3;5;2
13.3000001907349;1.20000004768372;1449;3;5;2
15.6000003814697;2.20000004768372;597;5;4;2
15.6000003814697;2.40000009536743;779;1;4;2
17.2999992370605;2.90000009536743;1407;2;2;3
15.6000003814697;2.09999990463257;349;4;4;1
15.6000003814697;2.20000004768372;549;5;4;2
13.3000001907349;1.39999997615814;931.880004882812;3;5;2
17.2999992370605;2.79999995231628;589;5;4;2
14;1.62999999523163;1031;4;4;2
14;1.60000002384186;1149;3;5;2
13.3000001907349;1.62000000476837;1279;3;1;3
15.6000003814697;2.20000004768372;677.349975585938;3;4;2
14;1.74000000953674;899;5;1;2
13.3000001907349;1.20000004768372;1363;7;5;2
15.6000003814697;2.09999990463257;794;4;4;2
17.2999992370605;4.42000007629395;2456.34008789062;3;2;3
15.6000003814697;2.20000004768372;832;1;4;2
15.6000003814697;2.29999995231628;859.010009765625;3;4;3
15.6000003814697;2;769;2;4;2
17.2999992370605;2.69000005722046;891;2;4;2
15.6000003814697;1.89999997615814;1269;4;4;2
15.6000003814697;2.36999988555908;398.989990234375;2;4;1
15.6000003814697;2.09999990463257;330;4;4;1
15.6000003814697;3.20000004768372;1499;5;2;3
14;1.60000002384186;859;3;4;2
13.3000001907349;1.60000002384186;689;1;1;2
15.6000003814697;2.35999989509583;899;3;4;3
15.6000003814697;2.09999990463257;390;1;4;1
15.6000003814697;2.20000004768372;575;2;4;1
17.2999992370605;4.69999980926514;3890;2;2;4
15.6000003814697;2.5;846;1;2;2
15.6000003814697;2.20000004768372;589;5;4;2
17.2999992370605;2.09999990463257;1145;2;4;2
17.2999992370605;2.69000005722046;889;2;4;2
15.6000003814697;2.55999994277954;879;3;2;2
13.8999996185303;1.37999999523163;1079;5;1;2
15.6000003814697;2.20000004768372;985;3;4;2
15.6000003814697;2.03999996185303;559;4;4;2
17.2999992370605;3.59999990463257;2999;2;2;3
13.3000001907349;1.49000000953674;675;4;4;1
15.6000003814697;2.07999992370605;819;3;1;2
17.2999992370605;4.30000019073486;1799;2;2;3
15.6000003814697;1.67999994754791;469;2;4;1
13.8999996185303;1.37000000476837;1849;5;1;2
17.2999992370605;3;702;1;4;1
13.3000001907349;1.4099999666214;949;3;5;2
15.6000003814697;1.9099999666214;445.899993896484;4;4;2
17.2999992370605;2.90000009536743;1059;4;4;3
17.2999992370605;4.1399998664856;2499;6;2;3
15.6000003814697;2;1699;5;1;2
17.2999992370605;2.79999995231628;1142;3;4;2
15.6000003814697;2.20000004768372;444;5;4;1
15.6000003814697;2.09999990463257;722;4;4;1
15.6000003814697;2.1800000667572;657;3;4;1
15.6000003814697;2.24000000953674;565;3;4;2
15.6000003814697;2.67000007629395;799;3;1;2
13.3000001907349;1.10000002384186;1499;2;1;2
15.6000003814697;2.20000004768372;467;5;4;1
17.2999992370605;2.5;1018;4;4;2
15.6000003814697;2.04999995231628;880;5;4;2
17.2999992370605;3.20000004768372;1549;2;2;3
15.6000003814697;2.14000010490417;735.070007324219;3;4;2
14;1.36000001430511;2499;5;1;3
15.6000003814697;2.20000004768372;812;7;4;2
17.2999992370605;2.79999995231628;1099;3;4;2
15.6000003814697;2.20000004768372;745;1;4;2
17.2999992370605;2.79999995231628;489;5;4;1
17.2999992370605;2.79999995231628;849;5;4;2
15.6000003814697;2.25;428;3;4;1
15.6000003814697;2.5;829;5;2;2
15.6000003814697;3;951;1;4;2
15.6000003814697;1.95000004768372;1097;5;4;2
15.6000003814697;1.70000004768372;977;2;5;2
15.6000003814697;2.5;1179;5;2;3
15.6000003814697;2.20000004768372;659.010009765625;5;4;2
17.2999992370605;3;1187;2;2;2
17.2999992370605;2.53999996185303;489;4;4;2
15.6000003814697;2;1829;3;4;2
15.6000003814697;2.04999995231628;739;5;4;2
15.6000003814697;3.20000004768372;1299;5;2;2
15.6000003814697;2.5;979;1;4;2
17.2999992370605;3.42000007629395;2884.86010742188;3;6;3
15.6000003814697;1.62999999523163;1468;2;5;3
14;1.29999995231628;509;2;4;1
17.2999992370605;2.90000009536743;2122;2;2;3
15.6000003814697;2.20000004768372;549;5;4;2
15.6000003814697;2.5;1265;2;2;2
15.6000003814697;2.20000004768372;359.989990234375;5;4;1
13.3000001907349;1.27999997138977;1975;4;1;3
15.6000003814697;2.20000004768372;1043;7;4;2
15.6000003814697;2.29999995231628;819;5;4;2
15.6000003814697;1.86000001430511;469;4;4;1
13.3000001907349;1.10000002384186;999;5;4;2
13.3000001907349;1.21000003814697;2499;3;5;3
15.6000003814697;2.79999995231628;2099;6;2;3
15.6000003814697;2.23000001907349;469;1;4;2
15.6000003814697;2.32999992370605;844;3;4;2
13.3000001907349;1.28999996185303;2449;4;1;3
13.3000001907349;1.45000004768372;459.899993896484;5;4;1
14;1.95000004768372;980;4;4;2
11.6000003814697;1.39999997615814;485;1;4;1
14;1.48000001907349;1292;4;4;2
17.2999992370605;2.78999996185303;589;5;4;1
14;2;1094;2;4;2
15.6000003814697;2.09999990463257;902;4;4;2
15.6000003814697;2.20000004768372;659;1;4;2
14;1.44000005722046;292;5;4;1
15.6000003814697;1.70000004768372;1049.90002441406;2;5;2
12.5;1.25999999046326;1335;4;5;2
15.6000003814697;2.05999994277954;2639;3;4;4
17.2999992370605;2.70000004768372;1199;6;2;2
15.6000003814697;2;943;7;4;2
14;2;1334;2;4;2
15.6000003814697;1.85000002384186;449;5;4;1
15.6000003814697;2.5;999;2;2;2
14;1.48000001907349;1268;4;4;2
15.6000003814697;1.89999997615814;1049;3;5;2
15.6000003814697;1.8400000333786;1144;4;4;2
15.6000003814697;2;274.989990234375;2;4;1
15.6000003814697;2;1142.75;3;4;2
15.6000003814697;2.20000004768372;274.899993896484;3;4;1
15.6000003814697;2.09999990463257;716;4;4;2
13.8999996185303;1.39999997615814;2099;5;1;3
13.3000001907349;1.20000004768372;1579;3;5;2
15.6000003814697;2.40000009536743;1129;5;2;3
15.6000003814697;1.87999999523163;1607.9599609375;3;5;3
11.6000003814697;1.5;375;2;1;1
15.6000003814697;1.89999997615814;663;3;5;2
15.6000003814697;2.05999994277954;2027.42004394531;3;4;3
15.6000003814697;1.8400000333786;1304;4;4;2
17.2999992370605;2.70000004768372;1409;6;2;2
15.6000003814697;2.59999990463257;1738.27001953125;4;6;2
15.6000003814697;2.40000009536743;1403;7;4;3
15.6000003814697;2.01999998092651;970.900024414062;3;4;2
15.6000003814697;2.20000004768372;321.989990234375;5;4;1
15.6000003814697;2.65000009536743;999;3;2;2
15.6000003814697;2.35999989509583;557.369995117188;3;4;2
14;1.36000001430511;1427;3;4;2
15.6000003814697;1.86000001430511;439;4;4;1
14;2;945;2;4;2
15.6000003814697;1.86000001430511;639;4;4;2
15.6000003814697;2.20000004768372;499;5;4;2
15.6000003814697;2.03999996185303;389;4;4;2
17.2999992370605;2.79999995231628;1085;3;4;2
15.6000003814697;2.40000009536743;809;5;2;2
15.6000003814697;2.32999992370605;899;3;4;2
14;1.36000001430511;1750;4;5;2
15.6000003814697;2.09999990463257;426;1;4;1
17.2999992370605;3.25;2199;2;2;3
17.2999992370605;2.59999990463257;489;5;4;1
13.3000001907349;1.62000000476837;869.010009765625;3;1;2
15.6000003814697;1.9099999666214;488.989990234375;4;4;1
11.6000003814697;1.5900000333786;553;5;3;1
15.6000003814697;1.79999995231628;309;3;4;1
14;1.5;286;2;4;1
15.6000003814697;2.40000009536743;846;1;4;2
17.2999992370605;3.34999990463257;1191;4;2;2
15.6000003814697;1.85000002384186;403.5;5;4;1
15.6000003814697;2.29999995231628;1655;2;2;2
14;1.5;1099;5;4;2
13.3000001907349;1.10000002384186;1748.90002441406;2;5;3
14;1.12999999523163;2282;5;5;2
13.3000001907349;1.5;549;5;4;1
15.6000003814697;2.23000001907349;1369;3;6;2
15.6000003814697;2;2135;3;6;2
14;1.41999995708466;2509;5;1;3
17.2999992370605;3;1039;2;2;2
17.2999992370605;3;1591;2;2;3
17.2999992370605;2.70000004768372;1349;6;2;2
15.6000003814697;2.32999992370605;778.869995117188;3;4;2
15.6000003814697;1.9099999666214;499;4;5;1
15.6000003814697;2.09999990463257;1229.56005859375;5;4;2
14;1.89999997615814;938;5;4;2
15.6000003814697;1.77999997138977;2712;3;6;2
14;1.12999999523163;2625;5;5;3
15.6000003814697;2.20000004768372;306;5;4;1
17.2999992370605;2.90000009536743;1529;2;2;3
15.6000003814697;2.09999990463257;1144.5;5;4;2
15.6000003814697;2.5;879;1;4;2
17.2999992370605;2.79999995231628;2249;6;2;3
14;1.10000002384186;1873;2;5;2
13.3000001907349;1.20000004768372;1747;7;5;3
14;1.36000001430511;1680;3;5;2
15.6000003814697;2.20000004768372;409;5;4;1
15.6000003814697;2.67000007629395;1925;5;6;2
14;1.70000004768372;1943;5;5;2
15.6000003814697;2.09999990463257;469;4;4;1
13.3000001907349;1.60000002384186;789.010009765625;1;1;2
13.3000001907349;1.26999998092651;928;2;1;2
15.6000003814697;2.29999995231628;598.900024414062;3;4;1
13.3000001907349;1.64999997615814;689;3;4;1
14;1.42999994754791;1500;4;5;2
15.6000003814697;2.14000010490417;539.950012207031;3;4;2
14;1.75;1215.38000488281;5;5;2
15.6000003814697;2;1899;5;1;3
15.6000003814697;2.30999994277954;1427;4;4;2
15.6000003814697;2.29999995231628;597;2;4;2
17.2999992370605;4.42000007629395;2799;3;2;3
15.6000003814697;2.61999988555908;1159;3;2;2
15.6000003814697;2.01999998092651;1142.40002441406;3;4;2
14;1.60000002384186;1099;3;5;2
13.3000001907349;1.39999997615814;1010;5;4;2
14;1.70000004768372;599;5;4;1
15.6000003814697;2.29999995231628;2445;5;6;3
15.6000003814697;2.5;2449;5;4;3
17.2999992370605;3.20000004768372;1695;2;2;2
15.6000003814697;2.09999990463257;347;4;4;1
15.6000003814697;2;559;2;4;1
17.2999992370605;2.79999995231628;519;5;4;2
15.6000003814697;2.20000004768372;749;3;4;1
12.5;1.36000001430511;1429;5;5;2
15.6000003814697;2.20000004768372;349;5;4;1
15.6000003814697;2.20000004768372;1099;4;2;2
14;1.63999998569489;1179;3;4;2
15.6000003814697;2.40000009536743;441.799987792969;1;4;1
15.6000003814697;2.23000001907349;1993;3;6;2
15.6000003814697;2.20000004768372;1027.73999023438;6;2;2
15.6000003814697;1.9099999666214;589;4;4;2
